,actor,collab,count,genres
1185,Dharmendra,Sulochana Latkar,11,"['Action', 'Action|Crime|Thriller', 'Action|Comedy|Drama', 'Action|Drama', 'Comedy|Romance', 'Romance', 'Musical|Romance', 'Crime|Drama|Romance', 'Drama|Family', 'Drama|Romance', 'Action|Comedy|Drama']"
1186,Dharmendra,Raza Murad,15,"['Action', 'Action|Drama', 'Action', 'Action|Crime|Drama', 'Action|Drama', 'Action|Crime|Drama', 'Action', 'Action|Crime|Drama', 'Drama', 'Action|Crime|Drama', 'Action', 'Action|Crime|Drama', 'Drama', 'Action', 'Action']"
1187,Dharmendra,Madan Puri,11,"['Action|Drama', 'Drama|Family', 'Action|Adventure|Family', 'Action|Crime|Thriller', 'Drama|Musical|Romance', 'Action|Musical|Thriller', 'Romance', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Drama|Family', 'Drama|Romance']"
1188,Dharmendra,Suresh Oberoi,1,['Drama']
1189,Dharmendra,Ram Mohan,7,"['Action', 'Drama', 'Adventure|Crime|Thriller', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Drama|Family|Musical', 'Drama|Family|Musical']"
1190,Dharmendra,Rekha,7,"['Action', 'Drama|Family', 'Drama|Family', 'Action|Drama', 'Action|Family', 'Action|Drama', 'Action']"
1191,Dharmendra,Mohan Joshi,5,"['Action', 'Action|Drama', 'Action', 'Action|Crime|Drama', 'Action']"
1192,Dharmendra,Reema Lagoo,1,['Action|Crime|Drama']
1193,Dharmendra,Nirupa Roy,10,"['Action|Family', 'Drama|Romance', 'Action|Drama', 'Action|Thriller', 'Action|Comedy|Drama', 'Action|Drama', 'Drama|Family', 'Drama|Romance', 'Drama|Romance', 'Crime|Drama|Mystery']"
1194,Dharmendra,Shashi Kapoor,1,['Action|Crime|Thriller']
1195,Dharmendra,Sudhir,3,"['Action|Drama', 'Action|Drama', 'Action|Musical|War']"
1196,Dharmendra,Kamal Kapoor,2,"['Drama|Musical|Romance', 'Comedy|Drama|Family']"
1197,Dharmendra,Alok Nath,2,"['Comedy', 'Action|Crime|Drama']"
1198,Dharmendra,Sunder,11,"['Action|Comedy|Drama', 'Action|Crime', 'Drama|Family', 'Comedy|Drama', 'Drama|Romance', 'Drama|Romance', 'Action|Drama|Romance', 'Action|Drama|Romance', 'Musical|Romance', 'Comedy|Drama|Romance', 'Drama|Romance']"
1199,Dharmendra,Amjad Khan,10,"['Action|Adventure|Comedy', 'Action|Thriller', 'Action|Drama', 'Action|Comedy|Crime', 'Action|Romance', 'Action|Thriller', 'Action|Comedy|Drama', 'Action|Crime|Thriller', 'Action|Thriller', 'Action|Adventure|Comedy']"
1200,Dharmendra,Ajay Devgn,1,['Action|Comedy|Drama']
1201,Dharmendra,Shammi,2,"['Drama|Family', 'Crime|Musical|Mystery']"
1202,Dharmendra,Deven Verma,6,"['Comedy|Romance', 'Drama|Family', 'Drama|Romance', 'Drama|Romance', 'Crime|Drama|Romance', 'Comedy|Drama|Romance']"
1203,Dharmendra,Dina Pathak,2,"['Romance|Thriller', 'Drama']"
1204,Dharmendra,Akshay Kumar,1,['Action|Drama']
1205,Dharmendra,Bindu,8,"['Action|Drama', 'Action|Comedy', 'Drama', 'Comedy', 'Drama|Romance', 'Drama|Romance', 'Drama|Family|Musical', 'Drama|Family|Musical']"
1206,Dharmendra,Sharat Saxena,5,"['Action', 'Action|Drama', 'Action|Crime|Drama', 'Drama|Family', 'Action|Drama']"
1207,Dharmendra,Irrfan Khan,1,['Comedy|Drama|Romance']
1208,Dharmendra,Birbal,10,"['Action', 'Action|Drama', 'Action', 'Action|Drama', 'Action|Adventure|Crime', 'Drama|Family', 'Drama|Romance', 'Action|Comedy|Drama', 'Romance|Thriller', 'Drama|Family']"
1209,Dharmendra,Ranjeet,12,"['Action|Thriller', 'Action', 'Action|Crime|Drama', 'Action', 'Action|Drama', 'Drama|Family', 'Action|Drama|Romance', 'Action|Thriller', 'Action|Drama', 'Action|Comedy', 'Drama|Family', 'Drama|Romance']"
1210,Dharmendra,Helen,11,"['Action|Thriller', 'Action|Comedy', 'Comedy', 'Action|Crime|Thriller', 'Action|Mystery|Romance', 'Comedy|Romance', 'Romance', 'Action|Crime|Mystery', 'Mystery|Thriller', 'Crime|Musical|Mystery', 'Drama|Family|Musical']"
1211,Dharmendra,Shatrughan Sinha,14,"['Action', 'Crime|Romance', 'Action', 'Action', 'Action|Adventure', 'Action', 'Action', 'Action|Crime|Drama', 'Action', 'Action|Crime|Drama', 'Action|Thriller', 'Action|Family', 'Drama', 'Drama|Musical|Romance']"
1212,Dharmendra,Rajendra Nath,12,"['Action|Comedy|Drama', 'Action|Crime|Thriller', 'Drama|Family', 'Drama|Family', 'Action|Drama', 'Action', 'Drama|Romance|Thriller', 'Comedy|Romance', 'Comedy|Drama', 'Drama|Romance', 'Drama|Romance', 'Musical|Romance']"
1213,Dharmendra,Sanjay Dutt,4,"['Action|Drama|War', 'Action|Drama', 'Action|Drama', 'Action|Adventure|Comedy']"
1214,Dharmendra,Nasir Hussain,21,"['Action|Drama|Romance', 'Action|Thriller', 'Comedy', 'Action|Comedy|Drama', 'Action|Drama|Romance', 'Drama|Family', 'Action|Drama|Thriller', 'Action|Drama|Romance', 'Drama|Romance', 'Drama|Romance', 'Action|Adventure|Drama', 'Action|Adventure|Drama', 'Crime|Musical|Mystery', 'Drama', 'Comedy|Drama|Romance', 'Family|Romance', 'Drama|Romance', 'Drama|Family|Romance', 'Drama', 'Drama|Family|Musical', 'Drama|Family|Musical']"
1215,Dharmendra,Vinod Khanna,8,"['Action|Crime|Drama', 'Action|Drama|War', 'Action|Comedy|Drama', 'Action|Drama', 'Action|Drama|Romance', 'Action|Thriller', 'Action|Drama', 'Action|Musical|Thriller']"
1216,Dharmendra,Rakhee Gulzar,4,"['Action|Drama|War', 'Action|Drama', 'Drama|Musical|Romance', 'Drama|Romance|Thriller']"
1217,Dharmendra,Naseeruddin Shah,1,['Action']
1218,Dharmendra,Beena Banerjee,2,"['Action', 'Action']"
1219,Dharmendra,Mithun Chakraborty,11,"['Action|Drama', 'Action', 'Action', 'Action|Crime|Drama', 'Drama', 'Action|Drama', 'Action|Adventure|Crime', 'Drama', 'Action', 'Action|Drama', 'Action|Adventure|Drama']"
1220,Dharmendra,Govinda,6,"['Action', 'Action|Crime|Drama', 'Action|Crime|Drama', 'Action|Drama', 'Crime', 'Action|Crime|Drama']"
1221,Dharmendra,Sunny Deol,7,"['Action|Comedy', 'Action|Comedy|Drama', 'Drama|Sport', 'Crime|Romance', 'Action|Drama|War', 'Action|Crime|Drama', 'Drama|Romance']"
1222,Dharmendra,Dinesh Hingoo,5,"['Action|Drama', 'Action|Drama', 'Crime|Romance', 'Action', 'Action|Drama']"
