imdb_id,poster_path,original_title,year_of_release,runtime,genres,imdb_rating,imdb_votes,actors,wins_nominations,release_date
tt0831840,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/AhistaAhista2006_MoviePoster.jpg/220px-AhistaAhista2006_MoviePoster.jpg,Ahista Ahista,2006,122,Drama|Romance,7,1290,Abhay Deol|Soha Ali Khan|Shayan Munshi|,,18 August 2006 (India)
tt0476729,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Aksaar.jpg/220px-Aksaar.jpg,Aksar,2006,135,Drama|Romance|Thriller,4.8,1001,Emraan Hashmi|Udita Goswami|Dino Morea|Tara Sharma|,3 nominations,3 February 2006 (India)
tt0813996,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Alag_movieposter.jpg/220px-Alag_movieposter.jpg,Alag: He Is Different.... He Is Alone...,2006,123,Action|Drama|Fantasy,3.8,1076,Akshay Kapoor|Dia Mirza|Yatin Karyekar|Jayant Kripalani|Mukesh Tiwari|Sharat Saxena|Beena Banerjee|Tom Alter|Rana Jung Bahadur|,,16 June 2006 (India)
tt0800981,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Anthonyhai.jpg/220px-Anthonyhai.jpg,Anthony Kaun Hai?,2006,127,Mystery|Thriller,5.4,564,Sanjay Dutt|Arshad Warsi|Minissha Lamba|Anusha Dhandekar|Gulshan Grover|Raghuvir Yadav|Ravi Baswani|,,4 August 2006 (India)
tt0493437,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Apna_Sapna_Money_Money.jpg/220px-Apna_Sapna_Money_Money.jpg,Apna Sapna Money Money,2006,134,Comedy|Musical|Romance,5.2,1697,Bobby Darling|Deena|Riteish Deshmukh|Avtar Gill|Vrajesh Hirjee|Celina Jaitly|Anupam Kher|Sanjay Mishra|Koena Mitra|Sunil Pal|Chunky Pandey|Vijay Patkar|Riya Sen|Sunil Shetty|,2 nominations,10 November 2006 (India)
tt0495022,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Ankaheeposter.jpg/220px-Ankaheeposter.jpg,Ankahee,2006,151,Biography|Drama|Romance,4.1,338,Aftab Shivdasani|Ameesha Patel|Esha Deol|Amin Hajee|Ashwini Kalsekar|Hrishitaa Bhatt|Vikas Bhalla|Khushi Dubey|Javed Rizvi Jarehavi|Deepak Qazir|Lalit Parashar|Prithvi Zutshi|Imran Hasnee|,1 nomination,19 May 2006 (USA)
tt0470611,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Yatra-poster.jpg/220px-Yatra-poster.jpg,Yatra,2006,129,Drama,6.3,128,Rekha|Nana Patekar|Deepti Naval|Nakul Vaid|Anandi Ghose|Romit Raaj|,1 win & 1 nomination,4 May 2007 (India)
tt0419468,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Baabul_VideoCover.png/220px-Baabul_VideoCover.png,Baabul,2006,169,Drama|Family|Romance,5.4,2836,Amitabh Bachchan|Salman Khan|Hema Malini|John Abraham|Rani Mukerji|Om Puri|Sarika|Aman Verma|Parmeet Sethi|Rajpal Yadav|Smita Jaykar|Beena Banerjee|Avtar Gill|Vaishnavi|,1 nomination,8 December 2006 (USA)
tt0465376,,Aisa Kyon Hota Hai?,2006,\N,Action|Crime|Drama,4.3,15,Rati Agnihotri|Amit|Gopi Bhalla|Mehul Bhojak|Megha Chatterji|Dominic Emmanuel|Avtar Gill|Anisha Hinduja|Mitra Joshi|Johnny Lever|Akanksha Malhotra|Shruti Malhotra|Manish Mathur|Rachana Maurya|,,
tt2435680,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Adharm_%282006_film%29.jpg/220px-Adharm_%282006_film%29.jpg,Adharm,2006,\N,Action,5.1,7,Rahul Dev|Mayuri Kango|Rocky Khanna|Anupam Kher|Sonali Kulkarni|Sayaji Shinde|Namrata Shirodkar|,,
