name,profession,known_for
Indrajit Nattoji,director|visual_effects|animation_department,tt3447364|tt1479667
Rakesh Kakaria,director,tt1483815|tt4417710|tt4203766|tt3734198
Prashant Nair,director|writer|producer,tt2614722
Manish Tiwary,director|writer,tt2215163|tt1099196|tt8555626
Agneya Singh,director|producer|cinematographer,tt1730348|tt2963974|tt1496795|tt1730235
Arup Dutta,director|composer|writer,tt2404187|tt8543412|tt1501301
Baljit Singh Deo,director|editor|cinematographer,tt2357211|tt4984868|tt1500815|tt4846926
Ritesh Batra,director|writer|producer,tt4827986|tt2051839|tt7778680|tt2350496
Swapna Joshi,director,tt4910308|tt4471622|tt7976536|tt1503640
Amar Kaushik,assistant_director|director|actor,tt2436516|tt9420648|tt8108202|tt6110822
Aijaz Khan,director,tt4177040|tt1539331|tt7527082|tt2248939
Shubhashish Bhutiani,writer|director|producer,tt3082844|tt2190024|tt5997928|tt4459836
Rajesh Bajaj,director|writer|producer,tt1255873|tt3176310|tt10529494|tt2560098
Tony,director,tt1079967
Arnab Chaudhuri,director,tt2404027
Nilesh Maniyar,writer|assistant_director|casting_director,tt2929690|tt1274295|tt4322066
Suresh Triveni,director|writer|music_department,tt6791730|tt9024610|tt1579383|tt8303588
Aditya Om,actor|director|writer,tt2318401|tt5175604|tt4550794|tt4859526
Shekhar S. Jha,director|writer,tt1577048|tt6499258|tt2753528|tt8569206
Anand Gaekwad,director|producer,tt0978726
Radha Krishna Jagarlamudi,director|writer|actor,tt5137380|tt2499856|tt5832544|tt1583256
Indrajit Lankesh,director|writer|producer,tt1579812|tt4647014|tt3227016|tt2979334
Jagdish Rajpurohit,actor|director|writer,tt2979920|tt2265191|tt2424988|tt1532957
Srijit Mukherji,writer|director|actor,tt10217550|tt7822320|tt4115752|tt10834986
Akashaditya Lama,writer|director,tt4472754|tt2346744|tt5537602
Ranjit Tiwari,assistant_director|director|writer,tt5697870|tt2385104|tt4467202|tt4467262
Vijay Pal,editor|director,tt4994210|tt7284048|tt1611834|tt7288592
Ashok Kheny,director|actor|producer,tt1964837|tt1610418
Rajesh Ranshinge,director|writer,tt1943898|tt3919008|tt0401916|tt1612573
Sartaj Singh Pannu,director|writer|actor,tt7177642|tt1630613|tt5017192
Pankaj Batra,director|writer|producer,tt6750962|tt7762982|tt1636842|tt10984686
Jagbir Dahiya,director|producer,tt1637692
K.D. Satyam,writer|director|producer,tt5216810|tt1643224|tt2156785|tt7296496
Mohammed Israr Ansari,producer|director|writer,tt1643224
Rakesh Mehta,director|writer|producer,tt1644622|tt8316026|tt2327389|tt5532888
Sunil Prem Vyas,director|writer|actor,tt2368456|tt1874505|tt4384270|tt2361116
Saahil Prem,actor|director|writer,tt3814100|tt1784632|tt0795434|tt2609218
Kushal Srivastava,writer|director|producer,tt10990796|tt6275262|tt8503154|tt1950094
Hemant Gaba,director|writer|producer,tt5032504|tt1679290|tt5207116|tt9064242
Gopi Puthran,writer|director|assistant_director,tt1606267|tt3495000|tt5668770
Tanuj Bhramar,director|actor,tt1685685|tt8265146|tt5615116|tt4069964
Madan,director|producer|writer,tt0139237|tt0415082
R.S. Ghelan,director,tt1692213
S. Manasvi,writer|director,tt4299952|tt7972346|tt1907660|tt1695793
Chaitanya Tamhane,writer|producer|director,tt1719631|tt3717068
Manoj K. Jha,assistant_director|writer|director,tt1904875|tt4846926|tt1620933|tt8406866
Karan Butani,director|writer|assistant_director,tt3094390|tt2073070|tt8338746|tt1735504
Sachin P. Karande,director|producer,tt1740017|tt1899342|tt5032524|tt5032564
Sattwik Mohanty,writer|assistant_director|director,tt1512220|tt7154994|tt4117066
Ribhu Dasgupta,director|writer,tt4814290|tt8069036|tt8907992|tt1754202
Manu Warrier,writer|director,tt3770660|tt3666258|tt1756673|tt10751548
Vidhi Kasliwal,producer|director|assistant_director,tt1781838|tt5988306|tt9044540|tt6417788
Sandeep Mohan,director|writer|cinematographer,tt1784526|tt5207116|tt6892468|tt3444018
Adesh Prasad,assistant_director|editorial_department|director,tt1608777|tt1773764|tt8239946|tt1772332
Nila Madhab Panda,director|producer|writer,tt3477214|tt6143422|tt8136908|tt1805263
Srikanth Velagaleti,writer|director,tt1809399
Shankhadeep,director|writer,tt1814619
Shashank Khaitan,director|writer|actor,tt9053392|tt6277440|tt7638344|tt3678938
Vishal Aryan Singh,director|writer,tt1821692
Atlanta Nagendra,writer|director,tt1826763
Dhananjay Mishra,composer|director|music_department,tt5177986|tt5216490|tt5216596|tt5216486
Nitesh Tiwari,writer|director|music_department,tt5074352|tt1841542|tt6967980|tt3531852
Rono Mukherjee,director|composer,tt1847735
Sudhir R. Nair,director,tt1849067
Ashima Chibber,director|assistant_director|writer,tt0871510|tt2323964|tt1198101|tt1839596
Vick Krishna,actor|editor|director,tt6581468|tt3749900|tt7130830|tt2741602
Sanghamitra Chaudhuri,director|writer,tt2279622|tt1867064
Vineet Khetrapal,director|actor|producer,tt1886663
Pawan Kripalani,director|writer,tt5743656|tt1890513|tt3449320|tt9766256
Sanjoy Nag,actor|director|producer,tt7791496|tt1895476|tt5351378|tt6148812
Aman Mihani,director|producer,tt1900937
Sachindra Sharma,writer|director,tt4954486|tt1807978|tt3720438|tt4355892
Bumpy,producer|director|actor,tt1918927|tt8305218|tt5508864|tt3611266
Manish Vatssalya,actor|director|producer,tt2759338|tt2294685|tt10801314|tt1643224
Rakesh Ranjan Kumar,director|writer,tt1980970|tt7624840
Ravindra Gautam,director|producer,tt7762954|tt7154568|tt7598598|tt8925254
Akhilesh Jaiswal,writer|director,tt3431714|tt2882328|tt10427918|tt1954470
Sanjivan Lal,director|writer,tt8615806|tt8571888|tt8615834|tt2012576
Mandeep Kumar,director|assistant_director,tt1694561|tt2014260|tt5565818|tt2130242
Delwar Jahan Jhantu,writer|director|music_department,tt7272794|tt6532862|tt5515490|tt0114175
Avinash Kumar Singh,director|writer|cinematographer,tt2224313|tt3033936|tt3766912|tt3114866
Atanu Mukherjee,editor|director|writer,tt4121522|tt4016908|tt3389030|tt7341406
Pia Sukanya,actress|music_department|director,tt2679480|tt4971258|tt2084863|tt9741682
Japinder Kaur Baweja,director|writer|miscellaneous,tt2800452|tt1848771|tt2107858
Neeraj Ghaywan,director|writer|assistant_director,tt2119517|tt4635372|tt6077448|tt1954470
Naseem,director,tt0385978
Dharmendra Suresh Desai,assistant_director|director,tt0278315|tt2377938|tt5165344|tt0273535
Brahmanand S. Singh,director|writer|producer,tt2152803|tt6597248|tt7482222|tt7743400
Pratim D. Gupta,writer|director|producer,tt2187003|tt10574498|tt4943558|tt5207116
Joe Rajan,director|producer,tt2188811
Baadal,director|writer,tt2211133
Kirshan Kumar,director|writer|producer,tt2211133
Amit Khanna,director|writer|producer,tt8090138|tt4511416|tt5671138|tt2224541
Akshay Akkineni,assistant_director|director|writer,tt0315642|tt2358412|tt2233949|tt3794302
Prashant Singh,director|assistant_director|miscellaneous,tt4068208|tt8785426|tt1694542|tt2359810
Prem Prakash Modi,assistant_director|director|actor,tt0454391|tt7571718|tt6107292|tt1398391
Navneet Behal,director|writer|visual_effects,tt7395466|tt2317135
Navin Batra,director|writer,tt2353775|tt2375567|tt7591498
Mikhil Musale,director|writer|assistant_director,tt8983180|tt3590482|tt2365873|tt5979920
Yash Dave,director|writer,tt2378057
Allyson Patel,director,tt2378057
Cherag Ruparel,assistant_director|director|writer,tt1606267|tt2308773|tt3398052|tt10443846
Gitanjali Sinha,director|writer,tt2402745
Naman Nitin Mukesh,assistant_director|director,tt9176260|tt7926004|tt2759338|tt2404519
Anand Kumar,producer|director,tt5420484|tt6149998|tt3877652|tt2171454
Suhas Kadav,director|animation_department|writer,tt8242412|tt0381772|tt2649730|tt6278732
Prateek Chakravorty,producer|assistant_director|writer,tt1146325|tt2185084|tt9552702|tt4959358
Saandesh Nayak,actor|director|writer,tt2208248|tt0151150|tt6494578|tt5130348
Zeishan Quadri,producer|actor|writer,tt1954470|tt9883006|tt4117066|tt10366052
Shuja Ali,director|writer,tt3475862|tt2222716
Ajay Bahl,director|writer|cinematographer,tt2408040
Manish Manikpuri,director,tt2243336
Vickrant Mahajan,director|actor|writer,tt2251552
Shamin Desai,director|writer,tt4911068|tt6177406|tt2256514
Adeeb Rais,director|actor|writer,tt10400330|tt8917560|tt2216852|tt3006094
Aman Sachdeva,director,tt2290762|tt9861342|tt6020166|tt2998196
Vikram Veturi,animation_department|director,tt4673986|tt2321492|tt10608760|tt4352362
Shaurya Singh,actor|director|writer,tt2332570|tt3426342|tt6611040|tt7681514
Rajesh. K.,director|writer|actor,tt1783352|tt2571418|tt2517776|tt2337292
Karan Darra,director|assistant_director,tt2203308|tt8507568|tt2246595|tt3886444
Pritish Chakraborty,director|writer|assistant_director,tt2367056|tt6451298|tt10107284|tt10107380
Mahesh Kodiyal,director|writer,tt2389486
Zaid Ali Khan,director|producer,tt2429930
Vishwas Patil,director|writer,tt2438764
Anurag Singh,director|writer|assistant_director,tt3607198|tt5891348|tt6264938|tt5195856
Karthik Subbaraj,director|writer|producer,tt3569782|tt8959820|tt10661848|tt2585562
Jaideep Chopra,producer|director|writer,tt7376546|tt2554042|tt8427496|tt8461406
Rajesh Bhatt,assistant_director|director,tt2703684|tt3673988|tt0317569|tt0400571
Ashish Bhavsar,director|writer|producer,tt2585654
Shiv Kumar,director,tt2753344|tt0446905|tt0378105|tt0062670
Shammi Chhabra,director|writer,tt2612924
Jiten,director,tt2619760
Rajeev-Neelabh,director,tt2644446
Mustafa Engineer,director,tt4332856|tt2668860
Dipankar Senapati,assistant_director|director,tt1801098|tt5896934|tt2356426|tt3080284
Asit Sen,director|writer|assistant_director,tt0398193|tt0148692|tt0321968|tt1524567
Jagan Shakti,assistant_director|director,tt7770158|tt2556308|tt5946128|tt2181931
Abhishek Dogra,assistant_director|director|writer,tt1532957|tt4332114|tt0493417|tt7526836
Rajiv Chilaka,director|producer|writer,tt6543086|tt2798620|tt4570986|tt4171600
Prerna Wadhawan,producer|director|writer,tt2802062|tt4896462
Siddharth Malhotra,director|writer|assistant_director,tt1428459|tt0189633|tt6588966
Samir Tewari,director,tt2876408
Nalan Kumarasamy,writer|director|actor,tt2877108|tt4741412|tt5200962|tt7019942
Aban Raza,director|camera_department,tt2963974
Rakhee Sandilya,director|writer|assistant_director,tt6997642|tt2216852
Shekhar Ghosh,director|writer|producer,tt3005850|tt6571258
Krishan Hooda,writer|director|producer,tt8952648|tt3641820|tt6915020|tt6914936
Sandeep A. Varma,director|writer|producer,tt3056632|tt9271450|tt9015860|tt5897230
Karan Anshuman,writer|producer|director,tt3422462|tt6112414|tt6473300|tt3065040
Tarun Madan Chopra,director|writer,tt3166542
Vinil Mathew,director|writer,tt10980724|tt3173910|tt9185242|tt4874948
Madhureeta Anand,director,tt3261022
Dinesh P. Bhonsle,director|writer,tt7028142|tt3311236|tt5040904
Gurmmeet Singh,assistant_director|director|producer,tt0449994|tt0461936|tt6112414|tt6473300
Vats Amit,director,tt3309844
Mrityunjay Devvrat,director|writer,tt3369670
Anil Ballani,director,tt4579982|tt3431756
Shefali Bhushan,actor|writer|producer,tt5837424|tt4874314|tt3453964|tt5178120
Rajesh Pandey,director|assistant_director,tt3465488|tt10856158
Umesh Bist,writer|director,tt3483596|tt5076268|tt4467202
Syed Ahmad Afzal,writer|director|cinematographer,tt7390718|tt6582458|tt5600714|tt3514330
Sanamjit Singh Talwar,director|writer|music_department,tt3539966
Sabir,director,tt3565354
Mahesh Vaijnath Doijode,writer|director|producer,tt3585758
Tanushri Chattrji Bassu,director|writer,tt3681414
Nicholas Kharkongor,director,tt3611062|tt8747548|tt5046500
Vikramjit Singh,writer|cinematographer|director,tt4985254|tt2976182|tt0083452
Ivan Ayr,director|writer|editor,tt5270166|tt3645896|tt5174726|tt6078866
Ashwiny Iyer Tiwari,director|writer|miscellaneous,tt5832922|tt8983166|tt5005684|tt6967980
Nitin Chandra,director|writer,tt8852426|tt5487250|tt5344460|tt3693936
Sunil Sanjan,writer|producer|director,tt4493550|tt3701072
Avinash Das,miscellaneous|director|writer,tt2360717|tt3705084|tt6058394
Vivek b Agrawal,producer|assistant_director|director,tt0857381|tt6077448|tt3322420|tt2882328
Harish Chawla,director,tt0381321
Tabrez Hashmi,director|production_manager,tt1234250|tt0116153|tt0476550
Afzal Ahmed,director,tt0317699|tt4332952|tt3811418
Sunil Subramani,assistant_director|director,tt1198101|tt2082197|tt0495032|tt4129428
V.K. Singh,director|writer,tt3893476
Sujeeth,writer|director|assistant_director,tt6836936|tt3916700|tt5849466
Sanjay Patel,writer|producer|director,tt6395306|tt3959638
Abhijit Panse,director|writer,tt7777196|tt4019578
Sukumar Nair,director,tt4063584
Abhishek Bindal,writer|director|actor,tt3169676|tt2006233
Gurmeet Ram Rahim Singh,writer|music_department|miscellaneous,tt4921860|tt6642396|tt6467380|tt4107858
Kamal Master,director,tt0359059
Shivaji Lotan Patil,director|writer|producer,tt4288730|tt9841876|tt5511856|tt4386684
Mahesh Bhatt,writer|director|producer,tt4309284
Samir Soni,director|writer|producer,tt4335954
Kamal Raj Bhasin,director,tt0368825
Milann Ajmera,director,tt2872050
Qasim Khallow,camera_department|writer|actor,tt3495026|tt10017956|tt2574698|tt2016894
Prem Sagar,producer|director,tt0378071|tt8435290|tt8230598
Aarun Nagar,actor|director|writer,tt4451552|tt9795264|tt4541102|tt1517792
Suzad Iqbal Khan,director|writer|actor,tt5456810|tt4485366|tt8157072|tt5937870
Bobby Khan,director|writer,tt4500734
Jasbir Bhaati,director|writer,tt1450737|tt5978194|tt11102876|tt4541102
Shadaab Mirza,director|writer,tt4556848
Giresh Naik,director,tt4565796
Shakir Khan,director|writer,tt4581722
Aanand Raut,director,tt4594848
Anu Menon,writer|director,tt8242548|tt2064849|tt4818930|tt5207116
Anirudh Chawla,writer|director|actor,tt4654760
Munindra,director,tt4671212
Kapri Vinod,director,tt4707940
Kirti Kumar,director|actor|music_department,tt0118654|tt0363666|tt0105209|tt0119760
Munish Bhardwaj,actor|writer|director,tt3614516|tt3743158|tt5343678|tt6768582
Biswajeet Bora,director|writer|actor,tt4760900|tt6367610
Honeypreet Insan,actress|assistant_director|director,tt6642396|tt6040012|tt4107858|tt6467380
Deepak Chandra,editor|miscellaneous|editorial_department,tt4906960|tt2976182|tt4500734|tt5759244
Dedipya Joshii,director|writer|producer,tt4844708|tt9055312
Raaj Shaandilyaa,writer|director,tt9248940|tt6265988|tt2150177|tt5943306
Ruchika Oberoi,writer|director,tt4916048
Irshad Khan,producer|director,tt4995402|tt8856006
Lom Harsh,director|writer|actor,tt8016496|tt8484464|tt5525846|tt6577566
Shashank Udapurkar,director|actor|writer,tt6170046|tt9642630|tt6118134|tt5058136
Krishnadev Yagnik,director|writer,tt8831284|tt5909308|tt5086104|tt6771678
Rohit Naiyar,assistant_director|director,tt0933175|tt1252594|tt0409068|tt1499935
Rajeev Chaudhari,director|writer|music_department,tt5227468
Arjun Mukerjee,director,tt4552546
K. Mishra,director,tt0447559
Shailendra Pandey,director|actor|writer,tt0488836|tt5463608
Subroto Paul,director|assistant_director|editorial_department,tt7277150|tt5154096|tt5632164
Pankaj Sharma,director|producer,tt8823390|tt6449730
Sachin Gupta,director|writer|producer,tt7722184|tt2907156|tt4859310|tt8499798
Rajiv Dhingra,miscellaneous|director|writer,tt4846952|tt3402548|tt7549484|tt5569468
Ravi Udyawar,director|writer,tt5690142
Jitendra Tiwari,director,tt5752374
Monjoy Joy Mukerji,director|writer,tt5752458
Rajesh Butalia,director|writer,tt5760490
Pranav Singh,director,tt5752374
Shekhar Sirrinn,director|writer|composer,tt7189494|tt7548968
Sankalp Reddy,director|writer,tt6299040
Vishal Mishra,director|writer,tt8706852|tt6334874|tt7871054
Aziz Zee,director|actor,tt6409494|tt7997334|tt7403550
Aparnaa Singh,director,tt6467738
Lalit Mohan,director|writer,tt5919914|tt8163874|tt6862542|tt6477736
Ajay Pannalal,director,tt6537508
Kunal v Singh,director|writer,tt6656806
Vijay Ratnakar Gutte,director,tt6986710
Ovais Khan,director|cinematographer,tt11007050|tt6985880
Ahmed Faisal Inam,miscellaneous|director|writer,tt1740017|tt1999199|tt10210258|tt10210090
Tanvi Jain,writer|assistant_director|miscellaneous,tt10340664|tt1578116|tt7743400|tt6597248
Gulbahar Singh,director,tt6752836
R.S. Prasanna,director|writer,tt3381754|tt6971752
Dhwanil Mehta,director|writer,tt7340684
Dhiraj Kumar,director|writer|producer,tt7274806|tt7220688|tt6371946
Pradeep Rangwani,director|producer,tt7277150
Sandeep Reddy Vanga,writer|director|actor,tt7294534|tt8983202|tt1582524|tt8303612
A.A. Darpan,director|producer,tt0423844
Sardar Talukdar,director|writer|assistant_director,tt0482034|tt0360227|tt0343048|tt4616354
Ratnaa Sinha,director,tt7469726
Naresh Lalwani,director|writer|producer,tt7585620
Arvind Tripathi,director,\N
Aleya Sen,writer|producer|director,tt7725596|tt6071752
Sajid Ali,nan,\N
Desh Deepak,director|actor,tt0341455|tt0439641
Deb Medhekar,director|writer,tt8223250
Rahi Anil Barve,director|writer,tt8239946
Sudip Bandyopadhyay,director|writer,tt8324474
